query_id	hikmah_ranked_ids	bm25_ranked_ids	hikmah_ndcg10	bm25_ndcg10	hikmah_recall10	bm25_recall10
1	7734150,10086360,24555878,3770726,31439189,4983,26047921,29334259,24928817,1285713	43385013,10608397,40212412,10931595,27049238,803312,10906636,393001,10086360,13231899	0.0	0.0	0.0	0.0
100	4381486,25516011,4816339,7583161,4391817,13116880,30398773,22973574,21479575,4398832	4381486,4398832,2547636,15728433,25516011,22186938,34982259,92499,7583161,22973574	1.0	1.0	1.0	1.0
1012	9745001,26026009,43122426,37912677,602760,6751418,53779698,7986878,3698758,24770913	9745001,26026009,43122426,6751418,37912677,20544428,18414462,20611846,21551568,25452937	1.0	1.0	1.0	1.0
1014	6277638,18557974,15615957,306311,3155374,36233757,59453688,45651303,11071351,5785219	6277638,18557974,2266471,15615957,34760396,13162391,10852047,4658268,1227277,1974176	1.0	1.0	1.0	1.0
1019	1225513,11603066,104143831,40429879,16669757,31844040,20602517,44172171,24737389,20374609	1225513,11603066,196664003,40429879,44172171,104143831,20602517,26996935,19851614,9875570	0.6309297535714575	0.6309297535714575	1.0	1.0
1020	14474178,6776834,10559501,29429111,7821634,29367554,28644298,4387494,3756384,26068103	10559501,9433958,12885341,38376189,34287602,6163801,26731863,28644298,72159,26071782	0.0	0.6309297535714575	0.0	1.0
1021	14474178,26731863,7821634,15593561,4387494,28644298,3756384,30437264,29429111,8639034	10559501,9433958,12885341,38376189,34287602,6163801,26731863,28644298,20960682,72159	0.0	0.6309297535714575	0.0	1.0
1024	5373138,25479072,24995939,38630735,11603066,2496002,23985464,140874,10650521,36606083	5373138,24995939,8494570,140874,14530534,26064942,14973286,24896957,1982286,21479575	1.0	1.0	1.0	1.0
1029	34025053,11899391,36642096,7115651,23342845,27428509,26067999,2042250,13923140,25738896	11899391,13923140,7115651,34025053,2388819,36642096,1855679,9655347,13940200,22852120	0.43734888382569426	0.9066276098484507	0.6666666666666666	1.0
1041	16626264,15778034,9881829,9724974,28809022,21557055,9451052,11844791,7488455,43156471	9451052,15778034,5966635,25254425,2817000,18038955,1259280,11844791,17518195,16626264	0.6131471927654584	0.44130740935663865	0.5	1.0
